Category,ComponentOne,ComponentTwo,ComponentOneLicense,ComponentTwoLicense,LicenseTerm,TermValueOne,TermValueTwo,TermDescriptionOne,TermDescriptionTwo
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,GroupBy - API - Java - Flux 2.5.33,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,GroupBy - API - Java - Flux 2.5.34,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean and multiple plugins 1.7.1.0,LightJason AgentSpeak(L++) 0.0.1,Apache License 2.0,GNU Lesser General Public License v3.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,ActFramework Starter - EclipseLink and AAA 1.7.1.0,Apache License 2.0,GNU Affero General Public License v3.0,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,ActiveMQ JUnit Utilities 1.0.2,Apache License 2.0,[base] BSD 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,AOP Alliance (Java/J2EE AOP standard) 1.0,Apache License 2.0,Public Domain,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,avro4s-json 1.8.3,Apache License 2.0,MIT License,Place Additional Restrictions,PERMITTED,FORBIDDEN,You intend to place additional restrictions,You are not entitled to place additional restrictions
LEGAL,ActFramework Starter - Ebean2 and AAA 1.7.0.0,Axis (Java) 1.4,Apache License 2.0,[base] GPL 2.0 (base license),Hold Liable,FORBIDDEN,REQUIRED,A disclaimer of warranty prevents you from holding the original owner and/or contributors liable for any damages due to the use of this software,License requires you to issue a disclaimer of warranty on your code which prevents you or anyone using your code from holding the original owner and/or contributors liable for any damages due to the use of this software
